Tiempo	Evento	ID	Pos_X	Pos_Y
0.1	Movimiento	0	101.3	100.5
0.1	Movimiento	1	99.7	402
0.2	Movimiento	0	102.6	101
0.2	Movimiento	1	99.4	404
0.3	Movimiento	0	103.9	101.5
0.3	Movimiento	1	99.1	406
0.4	Movimiento	0	105.2	102
0.4	Movimiento	1	98.8	408
0.5	Movimiento	0	106.5	102.5
0.5	Movimiento	1	98.5	410
0.6	Movimiento	0	107.8	103
0.6	Movimiento	1	98.2	412
0.7	Movimiento	0	109.1	103.5
0.7	Movimiento	1	97.9	414
0.8	Movimiento	0	110.4	104
0.8	Movimiento	1	97.6	416
0.9	Movimiento	0	111.7	104.5
0.9	Movimiento	1	97.3	418
1	Movimiento	0	113	105
1	Movimiento	1	97	420
1.1	Movimiento	0	114.3	105.5
1.1	Movimiento	1	96.7	422
1.2	Movimiento	0	115.6	106
1.2	Movimiento	1	96.4	424
1.3	Movimiento	0	116.9	106.5
1.3	Movimiento	1	96.1	426
1.4	Movimiento	0	118.2	107
1.4	Movimiento	1	95.8	428
1.5	Movimiento	0	119.5	107.5
1.5	Movimiento	1	95.5	430
1.6	Movimiento	0	120.8	108
1.6	Movimiento	1	95.2	432
1.7	Movimiento	0	122.1	108.5
1.7	Movimiento	1	94.9	434
1.8	Movimiento	0	123.4	109
1.8	Movimiento	1	94.6	436
1.9	Movimiento	0	124.7	109.5
1.9	Movimiento	1	94.3	438
2	Movimiento	0	126	110
2	Movimiento	1	94	440
2.1	Movimiento	0	127.3	110.5
2.1	Movimiento	1	93.7	442
2.2	Movimiento	0	128.6	111
2.2	Movimiento	1	93.4	444
2.3	Movimiento	0	129.9	111.5
2.3	Movimiento	1	93.1	446
2.4	Movimiento	0	131.2	112
2.4	Movimiento	1	92.8	448
2.5	Movimiento	0	132.5	112.5
2.5	Movimiento	1	92.5	450
2.6	Movimiento	0	133.8	113
2.6	Movimiento	1	92.2	452
2.7	Movimiento	0	135.1	113.5
2.7	Movimiento	1	91.9	454
2.8	Movimiento	0	136.4	114
2.8	Movimiento	1	91.6	456
2.9	Movimiento	0	137.7	114.5
2.9	Movimiento	1	91.3	458
3	Movimiento	0	139	115
3	Movimiento	1	91	460
3.1	Movimiento	0	140.3	115.5
3.1	Movimiento	1	90.7	462
3.2	Movimiento	0	141.6	116
3.2	Movimiento	1	90.4	464
3.3	Movimiento	0	142.9	116.5
3.3	Movimiento	1	90.1	466
3.4	Movimiento	0	144.2	117
3.4	Movimiento	1	89.8	468
3.5	Movimiento	0	145.5	117.5
3.5	Movimiento	1	89.5	470
3.6	Movimiento	0	146.8	118
3.6	Movimiento	1	89.2	472
3.7	Movimiento	0	148.1	118.5
3.7	Movimiento	1	88.9	474
3.8	Movimiento	0	149.4	119
3.8	Movimiento	1	88.6	476
3.9	Movimiento	0	150.7	119.5
3.9	Movimiento	1	88.3	478
4	Movimiento	0	152	120
4	Movimiento	1	88	480
4.1	Movimiento	0	153.3	120.5
4.1	Movimiento	1	87.7	482
4.2	Movimiento	0	154.6	121
4.2	Movimiento	1	87.4	484
4.3	Movimiento	0	155.9	121.5
4.3	Movimiento	1	87.1	486
4.4	Movimiento	0	157.2	122
4.4	Movimiento	1	86.8	488
4.5	Movimiento	0	158.5	122.5
4.5	Movimiento	1	86.5	490
4.6	Movimiento	0	159.8	123
4.6	Movimiento	1	86.2	492
4.7	Movimiento	0	161.1	123.5
4.7	Movimiento	1	85.9	494
4.8	Movimiento	0	162.4	124
4.8	Movimiento	1	85.6	496
4.9	Movimiento	0	163.7	124.5
4.9	Movimiento	1	85.3	498
5	Movimiento	0	165	125
5	Movimiento	1	85	500
5.1	Movimiento	0	166.3	125.5
5.1	Movimiento	1	84.7	502
5.2	Movimiento	0	167.6	126
5.2	Movimiento	1	84.4	504
5.3	Movimiento	0	168.9	126.5
5.3	Movimiento	1	84.1	506
5.4	Movimiento	0	170.2	127
5.4	Movimiento	1	83.8	508
5.5	Movimiento	0	171.5	127.5
5.5	Movimiento	1	83.5	510
5.6	Movimiento	0	172.8	128
5.6	Movimiento	1	83.2	512
5.7	Movimiento	0	174.1	128.5
5.7	Movimiento	1	82.9	514
5.8	Movimiento	0	175.4	129
5.8	Movimiento	1	82.6	516
5.9	Movimiento	0	176.7	129.5
5.9	Movimiento	1	82.3	518
6	Movimiento	0	178	130
6	Movimiento	1	82	520
6.1	Movimiento	0	179.3	130.5
6.1	Movimiento	1	81.7	522
6.2	Movimiento	0	180.6	131
6.2	Movimiento	1	81.4	524
6.3	Movimiento	0	181.9	131.5
6.3	Movimiento	1	81.1	526
6.4	Movimiento	0	183.2	132
6.4	Movimiento	1	80.8	528
6.5	Movimiento	0	184.5	132.5
6.5	Movimiento	1	80.5	530
6.6	Movimiento	0	185.8	133
6.6	Movimiento	1	80.2	532
6.7	Movimiento	0	187.1	133.5
6.7	Movimiento	1	79.9	534
6.8	Movimiento	0	188.4	134
6.8	Movimiento	1	79.6	536
6.9	Movimiento	0	189.7	134.5
6.9	Movimiento	1	79.3	538
7	Movimiento	0	191	135
7	Movimiento	1	79	540
7.1	Movimiento	0	192.3	135.5
7.1	Movimiento	1	78.7	542
7.2	Movimiento	0	193.6	136
7.2	Movimiento	1	78.4	544
7.3	Movimiento	0	194.9	136.5
7.3	Movimiento	1	78.1	546
7.4	Movimiento	0	196.2	137
7.4	Movimiento	1	77.8	548
7.5	Movimiento	0	197.5	137.5
7.5	Movimiento	1	77.5	550
7.6	Movimiento	0	198.8	138
7.6	Movimiento	1	77.2	552
7.7	Movimiento	0	200.1	138.5
7.7	Movimiento	1	76.9	554
7.8	Movimiento	0	201.4	139
7.8	Movimiento	1	76.6	556
7.9	Movimiento	0	202.7	139.5
7.9	Movimiento	1	76.3	558
8	Movimiento	0	204	140
8	Movimiento	1	76	560
8.1	Movimiento	0	205.3	140.5
8.1	Movimiento	1	75.7	562
8.2	Movimiento	0	206.6	141
8.2	Movimiento	1	75.4	564
8.3	Movimiento	0	207.9	141.5
8.3	Movimiento	1	75.1	566
8.4	Movimiento	0	209.2	142
8.4	Movimiento	1	74.8	568
8.5	Movimiento	0	210.5	142.5
8.5	Movimiento	1	74.5	570
8.6	Movimiento	0	211.8	143
8.6	Movimiento	1	74.2	572
8.7	Movimiento	0	213.1	143.5
8.7	Movimiento	1	73.9	574
8.8	Movimiento	0	214.4	144
8.8	Movimiento	1	73.6	576
8.9	Movimiento	0	215.7	144.5
8.9	Movimiento	1	73.3	578
9	Movimiento	0	217	145
9	Movimiento	1	73	580
9.1	Movimiento	0	218.3	145.5
9.1	Movimiento	1	72.7	582
9.2	Movimiento	0	219.6	146
9.2	Movimiento	1	72.4	584
9.3	Movimiento	0	220.9	146.5
9.3	Movimiento	1	72.1	586
9.4	Movimiento	0	222.2	147
9.4	Movimiento	1	71.8	588
9.5	Movimiento	0	223.5	147.5
9.5	Movimiento	1	71.5	590
9.5	Colision_Pared_Y	-	71.5	590
9.6	Movimiento	0	224.8	148
9.6	Movimiento	1	71.2	588
9.7	Movimiento	0	226.1	148.5
9.7	Movimiento	1	70.9	586
9.8	Movimiento	0	227.4	149
9.8	Movimiento	1	70.6	584
9.9	Movimiento	0	228.7	149.5
9.9	Movimiento	1	70.3	582
10	Movimiento	0	230	150
10	Movimiento	1	70	580
10.1	Movimiento	0	231.3	150.5
10.1	Movimiento	1	69.7	578
10.2	Movimiento	0	232.6	151
10.2	Movimiento	1	69.4	576
10.3	Movimiento	0	233.9	151.5
10.3	Movimiento	1	69.1	574
10.4	Movimiento	0	235.2	152
10.4	Movimiento	1	68.8	572
10.5	Movimiento	0	236.5	152.5
10.5	Movimiento	1	68.5	570
10.6	Movimiento	0	237.8	153
10.6	Movimiento	1	68.2	568
10.7	Movimiento	0	239.1	153.5
10.7	Movimiento	1	67.9	566
10.8	Movimiento	0	240.4	154
10.8	Movimiento	1	67.6	564
10.9	Movimiento	0	241.7	154.5
10.9	Movimiento	1	67.3	562
11	Movimiento	0	243	155
11	Movimiento	1	67	560
11.1	Movimiento	0	244.3	155.5
11.1	Movimiento	1	66.7	558
11.2	Movimiento	0	245.6	156
11.2	Movimiento	1	66.4	556
11.3	Movimiento	0	246.9	156.5
11.3	Movimiento	1	66.1	554
11.4	Movimiento	0	248.2	157
11.4	Movimiento	1	65.8	552
11.5	Movimiento	0	249.5	157.5
11.5	Movimiento	1	65.5	550
11.6	Movimiento	0	250.8	158
11.6	Movimiento	1	65.2	548
11.7	Movimiento	0	252.1	158.5
11.7	Movimiento	1	64.9	546
11.8	Movimiento	0	253.4	159
11.8	Movimiento	1	64.6	544
11.9	Movimiento	0	254.7	159.5
11.9	Movimiento	1	64.3	542
12	Movimiento	0	256	160
12	Movimiento	1	64	540
12.1	Movimiento	0	257.3	160.5
12.1	Movimiento	1	63.7	538
12.2	Movimiento	0	258.6	161
12.2	Movimiento	1	63.4	536
12.3	Movimiento	0	259.9	161.5
12.3	Movimiento	1	63.1	534
12.4	Movimiento	0	261.2	162
12.4	Movimiento	1	62.8	532
12.5	Movimiento	0	262.5	162.5
12.5	Movimiento	1	62.5	530
12.6	Movimiento	0	263.8	163
12.6	Movimiento	1	62.2	528
12.7	Movimiento	0	265.1	163.5
12.7	Movimiento	1	61.9	526
12.8	Movimiento	0	266.4	164
12.8	Movimiento	1	61.6	524
